#datum;m_ta;m_tax;m_taxd;m_tan;m_tand
1945-06;19.7;25.0;1945-06-21;15.6;1945-06-29
1945-07;21.2;27.8;1945-07-28;14.3;1945-07-03
1945-08;20.0;26.7;1945-08-08;15.6;1945-08-04
1945-09;15.2;21.6;1945-09-24;10.9;1945-09-28
1945-10;9.4;12.7;1945-10-25;5.2;1945-10-22
1945-11;4.7;12.4;1945-11-14;-3.1;1945-11-21
1945-12;0.9;7.1;1945-12-23;-8.2;1945-12-13
1946-01;-5.0;6.1;1946-01-12;-11.0;1946-01-26
1946-02;0.5;6.1;1946-02-28;-5.6;1946-02-15
1946-03;6.4;13.3;1946-03-15;0.4;1946-03-19
1946-04;13.5;18.9;1946-04-30;6.0;1946-04-11
1946-05;18.9;23.2;1946-05-13;11.7;1946-05-10
1946-06;21.5;28.6;1946-06-23;15.1;1946-06-15
1946-07;22.8;27.6;1946-07-06;18.2;1946-07-12
1946-08;22.7;29.3;1946-08-19;16.2;1946-08-24
1946-09;17.6;25.2;1946-09-09;11.2;1946-09-23
1946-10;5.6;12.3;1946-10-22;-1.6;1946-10-26
1946-11;5.9;13.4;1946-11-02;-0.9;1946-11-07
1946-12;-0.9;9.3;1946-12-06;-11.7;1946-12-19
1947-01;-8.6;0.0;1947-01-14;-17.5;1947-01-31
1947-02;-2.2;4.9;1947-02-22;-17.4;1947-02-01
1947-03;6.6;15.5;1947-03-30;-2.4;1947-03-09
1947-04;12.9;19.9;1947-04-28;5.7;1947-04-12
1947-05;17.3;22.0;1947-05-28;8.5;1947-05-04
1947-06;20.5;26.6;1947-06-29;12.9;1947-06-12
1947-07;22.0;28.9;1947-07-08;15.8;1947-07-16
1947-08;19.6;27.3;1947-08-05;12.0;1947-08-30
1947-09;17.7;21.9;1947-09-18;12.9;1947-09-06
1947-10;7.9;14.7;1947-10-12;1.3;1947-10-24
1947-11;5.6;13.0;1947-11-13;0.0;1947-11-21
1947-12;1.2;10.5;1947-12-29;-9.5;1947-12-20
1948-01;3.4;9.0;1948-01-08;-5.3;1948-01-01
1948-02;-0.3;7.8;1948-02-01;-6.2;1948-02-20
1948-03;5.3;11.6;1948-03-22;-0.4;1948-03-01
1948-04;13.2;17.5;1948-04-17;3.9;1948-04-26
1948-05;17.2;23.4;1948-05-14;11.3;1948-05-20
1948-06;18.2;23.7;1948-06-19;11.1;1948-06-05
1948-07;19.0;25.2;1948-07-26;13.2;1948-07-09
1948-08;20.1;28.6;1948-08-10;14.4;1948-08-31
1948-09;15.6;23.5;1948-09-06;8.0;1948-09-22
1948-10;10.9;16.6;1948-10-03;3.7;1948-10-11
1948-11;2.1;12.1;1948-11-05;-10.9;1948-11-29
1948-12;-4.7;3.2;1948-12-31;-10.2;1948-12-21
1949-01;-0.3;7.7;1949-01-02;-8.0;1949-01-17
1949-02;-0.4;5.4;1949-02-23;-9.7;1949-02-03
1949-03;2.2;11.2;1949-03-27;-6.3;1949-03-05
1949-04;11.4;20.2;1949-04-26;4.9;1949-04-10
1949-05;17.1;23.4;1949-05-31;9.1;1949-05-09
1949-06;16.7;23.5;1949-06-10;12.0;1949-06-13
1949-07;19.7;25.4;1949-07-15;13.3;1949-07-20
1949-08;18.7;25.1;1949-08-02;12.5;1949-08-20
1949-09;15.8;21.0;1949-09-03;11.3;1949-09-27
1949-10;10.3;15.5;1949-10-03;6.1;1949-10-29
1949-11;7.4;11.9;1949-11-27;1.3;1949-11-03
1949-12;2.3;9.3;1949-12-09;-2.3;1949-12-14
1950-01;-5.0;2.3;1950-01-09;-11.9;1950-01-11
1950-02;0.6;9.5;1950-02-26;-13.3;1950-02-04
1950-03;5.6;13.0;1950-03-30;-2.0;1950-03-10
1950-04;12.0;21.8;1950-04-22;6.5;1950-04-07
1950-05;17.7;25.7;1950-05-26;12.3;1950-05-01
1950-06;20.1;27.1;1950-06-30;15.4;1950-06-12
1950-07;22.5;27.3;1950-07-04;17.4;1950-07-08
1950-08;20.5;25.4;1950-08-27;14.1;1950-08-04
1950-09;16.1;23.0;1950-09-12;10.7;1950-09-25
1950-10;8.1;19.5;1950-10-01;1.4;1950-10-28
1950-11;5.6;10.9;1950-11-12;0.9;1950-11-28
1950-12;3.5;9.2;1950-12-16;-4.3;1950-12-30
1951-01;1.8;6.4;1951-01-13;-4.2;1951-01-25
1951-02;3.9;9.9;1951-02-07;-1.8;1951-02-02
1951-03;6.0;13.7;1951-03-19;-1.4;1951-03-04
1951-04;11.3;16.7;1951-04-30;4.7;1951-04-23
1951-05;15.7;23.1;1951-05-28;10.2;1951-05-12
1951-06;20.0;26.2;1951-06-19;15.8;1951-06-01
1951-07;21.1;26.5;1951-07-12;16.3;1951-07-22
1951-08;21.8;27.8;1951-08-09;16.3;1951-08-19
1951-09;18.2;24.0;1951-09-07;9.5;1951-09-21
1951-10;9.4;15.2;1951-10-01;5.2;1951-10-30
1951-11;7.4;14.5;1951-11-12;0.8;1951-11-30
1951-12;0.2;6.0;1951-12-07;-8.6;1951-12-24
1952-01;0.1;4.5;1952-01-12;-4.8;1952-01-23
1952-02;-0.6;4.6;1952-02-15;-6.9;1952-02-10
1952-03;1.0;9.3;1952-03-31;-6.6;1952-03-06
1952-04;13.6;19.9;1952-04-23;2.7;1952-04-03
1952-05;14.4;20.1;1952-05-05;4.2;1952-05-20
1952-06;19.2;25.5;1952-06-19;14.3;1952-06-26
1952-07;22.8;29.1;1952-07-15;16.6;1952-07-26
1952-08;23.7;30.7;1952-08-16;17.7;1952-08-23
1952-09;15.8;25.4;1952-09-06;8.6;1952-09-21
1952-10;10.2;19.2;1952-10-01;5.2;1952-10-20
1952-11;4.8;10.0;1952-11-19;1.3;1952-11-10
1952-12;1.6;6.9;1952-12-15;-2.5;1952-12-08
1953-01;0.1;8.7;1953-01-01;-4.9;1953-01-21
1953-02;-0.2;6.8;1953-02-23;-5.9;1953-02-10
1953-03;4.5;13.0;1953-03-31;-4.3;1953-03-13
1953-04;11.8;16.5;1953-04-28;7.0;1953-04-21
1953-05;14.7;23.2;1953-05-24;4.2;1953-05-11
1953-06;20.2;23.9;1953-06-22;12.8;1953-06-02
1953-07;22.4;26.0;1953-07-09;17.8;1953-07-12
1953-08;19.4;24.9;1953-08-22;14.3;1953-08-28
1953-09;17.0;21.9;1953-09-20;10.7;1953-09-14
1953-10;12.0;19.3;1953-10-17;6.5;1953-10-31
1953-11;2.8;7.6;1953-11-06;-4.8;1953-11-26
1953-12;-1.2;6.4;1953-12-07;-11.8;1953-12-25
1954-01;-8.2;1.8;1954-01-21;-17.8;1954-01-28
1954-02;-6.3;2.5;1954-02-28;-11.5;1954-02-20
1954-03;6.6;10.2;1954-03-05;4.2;1954-03-28
1954-04;7.4;14.1;1954-04-06;2.2;1954-04-12
1954-05;15.9;20.0;1954-05-28;9.0;1954-05-14
1954-06;20.8;25.4;1954-06-21;13.5;1954-06-08
1954-07;19.7;24.7;1954-07-01;13.6;1954-07-03
1954-08;20.7;27.0;1954-08-15;14.2;1954-08-17
1954-09;18.2;23.3;1954-09-15;7.8;1954-09-30
1954-10;9.7;15.0;1954-10-25;5.4;1954-10-28
1954-11;4.2;12.7;1954-11-11;-5.8;1954-11-23
1954-12;2.7;8.4;1954-12-14;-2.4;1954-12-31
1955-01;-2.1;4.3;1955-01-17;-9.5;1955-01-06
1955-02;1.5;9.8;1955-02-18;-4.2;1955-02-27
1955-03;3.5;13.8;1955-03-26;-5.4;1955-03-05
1955-04;7.4;17.9;1955-04-30;1.4;1955-04-20
1955-05;14.8;20.0;1955-05-02;9.8;1955-05-23
1955-06;18.3;23.6;1955-06-08;10.4;1955-06-03
1955-07;20.4;24.3;1955-07-20;15.5;1955-07-07
1955-08;19.7;22.9;1955-08-01;14.4;1955-08-10
1955-09;16.9;22.1;1955-09-06;10.9;1955-09-29
1955-10;11.6;16.4;1955-10-11;2.2;1955-10-31
1955-11;4.6;11.0;1955-11-07;-2.8;1955-11-27
1955-12;2.1;5.5;1955-12-16;-3.8;1955-12-14
1956-01;0.8;6.5;1956-01-18;-12.4;1956-01-31
1956-02;-8.4;3.4;1956-02-19;-15.8;1956-02-17
1956-03;1.8;9.4;1956-03-31;-4.7;1956-03-11
1956-04;10.5;18.9;1956-04-17;2.4;1956-04-08
1956-05;15.2;19.5;1956-05-30;10.6;1956-05-20
1956-06;18.8;24.1;1956-06-13;14.4;1956-06-22
1956-07;20.9;26.0;1956-07-30;17.3;1956-07-25
1956-08;20.9;26.6;1956-08-28;16.2;1956-08-03
1956-09;16.8;24.9;1956-09-04;10.5;1956-09-19
1956-10;10.0;19.1;1956-10-03;1.8;1956-10-31
1956-11;0.5;7.2;1956-11-15;-5.1;1956-11-21
1956-12;-0.3;6.0;1956-12-05;-7.1;1956-12-29
1957-01;-3.3;0.6;1957-01-08;-10.3;1957-01-18
1957-02;3.2;8.4;1957-02-18;-2.0;1957-02-01
1957-03;6.1;14.9;1957-03-21;-3.0;1957-03-04
1957-04;11.9;19.8;1957-04-30;5.2;1957-04-15
1957-05;13.2;20.0;1957-05-24;4.8;1957-05-07
1957-06;20.8;27.0;1957-06-12;15.9;1957-06-01
1957-07;21.8;28.4;1957-07-08;16.2;1957-07-22
1957-08;20.2;28.1;1957-08-14;14.8;1957-08-29
1957-09;15.9;21.3;1957-09-09;9.5;1957-09-27
1957-10;10.4;13.4;1957-10-19;7.1;1957-10-03
1957-11;6.0;14.1;1957-11-03;-6.0;1957-11-30
1957-12;-0.4;11.7;1957-12-13;-7.6;1957-12-04
1958-01;-2.3;5.3;1958-01-13;-11.1;1958-01-29
1958-02;2.6;11.2;1958-02-27;-8.8;1958-02-01
1958-03;1.2;11.0;1958-03-30;-5.2;1958-03-10
1958-04;7.8;13.2;1958-04-27;-0.0;1958-04-01
1958-05;19.4;26.1;1958-05-27;9.0;1958-05-05
1958-06;18.1;22.6;1958-06-03;13.4;1958-06-07
1958-07;21.7;27.8;1958-07-17;17.8;1958-07-24
1958-08;20.5;27.0;1958-08-02;15.5;1958-08-04
1958-09;16.2;20.4;1958-09-22;11.0;1958-09-29
1958-10;10.8;18.3;1958-10-07;3.0;1958-10-21
1958-11;6.0;12.5;1958-11-11;-0.7;1958-11-25
1958-12;3.1;10.5;1958-12-18;-5.4;1958-12-05
1959-01;-0.6;4.8;1959-01-03;-7.5;1959-01-18
1959-02;-1.9;4.9;1959-02-27;-6.5;1959-02-14
1959-03;7.6;12.5;1959-03-25;2.0;1959-03-10
1959-04;10.9;16.8;1959-04-10;4.0;1959-04-21
1959-05;15.8;19.7;1959-05-21;10.6;1959-05-03
1959-06;18.7;22.2;1959-06-20;12.3;1959-06-04
1959-07;22.6;28.7;1959-07-12;15.5;1959-07-01
1959-08;20.2;23.5;1959-08-25;15.8;1959-08-31
1959-09;14.2;18.6;1959-09-23;7.9;1959-09-30
1959-10;9.3;16.2;1959-10-28;4.9;1959-10-14
1959-11;5.2;9.5;1959-11-02;-1.6;1959-11-23
1959-12;4.2;10.7;1959-12-04;-1.2;1959-12-19
1960-01;-2.4;5.1;1960-01-29;-11.5;1960-01-15
1960-02;-0.5;7.9;1960-02-23;-9.0;1960-02-07
1960-03;6.4;12.8;1960-03-16;-1.3;1960-03-07
1960-04;10.3;16.4;1960-04-19;4.9;1960-04-26
1960-05;14.8;22.1;1960-05-19;8.8;1960-05-02
1960-06;19.3;21.9;1960-06-08;14.9;1960-06-21
1960-07;19.4;26.7;1960-07-20;13.5;1960-07-02
1960-08;19.5;23.4;1960-08-01;15.8;1960-08-31
1960-09;14.3;21.0;1960-09-05;8.0;1960-09-28
1960-10;12.1;16.0;1960-10-25;5.6;1960-10-19
1960-11;7.4;15.3;1960-11-05;2.3;1960-11-30
1960-12;4.5;11.0;1960-12-10;-1.9;1960-12-29
1961-01;-2.7;7.3;1961-01-04;-11.7;1961-01-28
1961-02;0.8;3.6;1961-02-21;-1.6;1961-02-07
1961-03;6.8;10.9;1961-03-18;2.7;1961-03-04
1961-04;13.6;17.9;1961-04-08;10.3;1961-04-01
1961-05;14.1;18.8;1961-05-28;10.3;1961-05-13
1961-06;19.9;26.3;1961-06-27;16.5;1961-06-15
1961-07;19.7;24.7;1961-07-04;14.1;1961-07-30
1961-08;19.8;28.4;1961-08-11;14.4;1961-08-17
1961-09;17.4;23.0;1961-09-06;12.9;1961-09-24
1961-10;12.7;20.8;1961-10-19;7.7;1961-10-25
1961-11;6.4;12.4;1961-11-07;-2.0;1961-11-23
1961-12;-1.1;10.0;1961-12-04;-12.2;1961-12-24
1962-01;-0.6;3.4;1962-01-01;-5.7;1962-01-09
1962-02;-1.3;2.9;1962-02-13;-5.8;1962-02-16
1962-03;1.4;13.4;1962-03-05;-5.9;1962-03-17
1962-04;12.6;20.1;1962-04-25;5.8;1962-04-29
1962-05;15.2;20.9;1962-05-29;6.3;1962-05-02
1962-06;17.1;25.5;1962-06-24;7.9;1962-06-07
1962-07;18.8;26.8;1962-07-27;13.2;1962-07-04
1962-08;22.0;26.3;1962-08-15;16.5;1962-08-20
1962-09;15.4;22.3;1962-09-07;9.2;1962-09-22
1962-10;10.5;16.5;1962-10-03;5.7;1962-10-22
1962-11;7.0;16.5;1962-11-01;-2.0;1962-11-26
1962-12;-3.2;2.7;1962-12-14;-9.6;1962-12-23
1963-01;-7.9;4.2;1963-01-06;-18.4;1963-01-18
1963-02;-4.1;1.8;1963-02-20;-12.6;1963-02-01
1963-03;2.2;8.1;1963-03-31;-9.1;1963-03-01
1963-04;11.9;17.9;1963-04-25;3.6;1963-04-02
1963-05;17.5;22.4;1963-05-26;11.7;1963-05-07
1963-06;19.5;27.2;1963-06-28;13.9;1963-06-03
1963-07;22.5;26.4;1963-07-26;17.0;1963-07-30
1963-08;21.4;27.0;1963-08-07;15.4;1963-08-22
1963-09;17.4;22.1;1963-09-03;8.5;1963-09-29
1963-10;9.8;18.8;1963-10-04;4.9;1963-10-29
1963-11;8.8;15.6;1963-11-06;0.5;1963-11-22
1963-12;-4.6;-0.2;1963-12-26;-14.2;1963-12-18
1964-01;-10.0;-0.3;1964-01-03;-19.2;1964-01-13
1964-02;-3.0;1.8;1964-02-26;-11.2;1964-02-15
1964-03;2.2;12.7;1964-03-31;-4.1;1964-03-17
1964-04;11.0;16.9;1964-04-21;5.7;1964-04-06
1964-05;14.6;20.6;1964-05-30;9.5;1964-05-03
1964-06;22.5;24.7;1964-06-15;15.0;1964-06-30
1964-07;21.3;26.8;1964-07-22;14.6;1964-07-02
1964-08;18.7;22.0;1964-08-18;14.3;1964-08-31
1964-09;15.6;20.6;1964-09-12;9.9;1964-09-22
1964-10;10.9;17.2;1964-10-12;5.9;1964-10-18
1964-11;5.9;10.5;1964-11-30;0.9;1964-11-27
1964-12;-0.0;6.8;1964-12-01;-3.8;1964-12-06
1965-01;-0.5;7.3;1965-01-31;-5.3;1965-01-16
1965-02;-4.7;4.0;1965-02-01;-10.0;1965-02-06
1965-03;4.9;9.2;1965-03-30;-2.4;1965-03-01
1965-04;9.0;14.2;1965-04-08;3.5;1965-04-01
1965-05;13.9;22.5;1965-05-19;7.6;1965-05-03
1965-06;18.4;25.6;1965-06-26;13.0;1965-06-11
1965-07;19.6;24.4;1965-07-25;14.1;1965-07-10
1965-08;17.6;24.3;1965-08-08;12.2;1965-08-27
1965-09;16.7;20.9;1965-09-03;12.5;1965-09-15
1965-10;9.0;18.7;1965-10-03;3.7;1965-10-22
1965-11;2.5;10.9;1965-11-02;-5.2;1965-11-17
1965-12;1.5;7.1;1965-12-10;-4.0;1965-12-15
1966-01;-4.5;2.8;1966-01-03;-9.7;1966-01-15
1966-02;4.7;10.9;1966-02-22;-3.3;1966-02-01
1966-03;4.8;8.5;1966-03-01;0.4;1966-03-20
1966-04;12.6;20.0;1966-04-28;4.3;1966-04-03
1966-05;15.5;19.8;1966-05-15;7.0;1966-05-29
1966-06;18.3;22.5;1966-06-17;12.5;1966-06-01
1966-07;20.1;24.7;1966-07-19;14.9;1966-07-09
1966-08;19.3;25.0;1966-08-19;14.5;1966-08-27
1966-09;15.0;19.6;1966-09-13;10.7;1966-09-25
1966-10;14.7;19.0;1966-10-05;2.3;1966-10-31
1966-11;5.1;13.6;1966-11-06;-3.1;1966-11-29
1966-12;0.7;9.8;1966-12-03;-3.9;1966-12-24
1967-01;-4.2;1.5;1967-01-27;-12.5;1967-01-18
1967-02;-0.5;6.8;1967-02-28;-6.9;1967-02-13
1967-03;6.4;11.6;1967-03-10;1.7;1967-03-18
1967-04;10.3;17.3;1967-04-13;3.3;1967-04-25
1967-05;16.0;19.8;1967-05-15;9.8;1967-05-05
1967-06;18.6;25.8;1967-06-27;11.1;1967-06-14
1967-07;22.3;25.4;1967-07-15;17.8;1967-07-05
1967-08;20.1;25.4;1967-08-05;16.9;1967-08-23
1967-09;17.8;22.1;1967-09-07;12.7;1967-09-30
1967-10;12.1;17.6;1967-10-04;3.1;1967-10-20
1967-11;5.0;12.8;1967-11-06;-2.7;1967-11-26
1967-12;-1.0;5.6;1967-12-25;-10.2;1967-12-21
1968-01;-3.8;3.1;1968-01-16;-13.4;1968-01-10
1968-02;2.6;10.1;1968-02-24;-1.2;1968-02-19
1968-03;5.2;14.5;1968-03-31;-3.3;1968-03-12
1968-04;12.8;19.6;1968-04-06;1.4;1968-04-09
1968-05;16.9;25.3;1968-05-12;10.9;1968-05-19
1968-06;20.6;26.2;1968-06-18;12.6;1968-06-11
1968-07;20.1;27.2;1968-07-08;15.0;1968-07-28
1968-08;18.8;22.0;1968-08-30;14.2;1968-08-19
1968-09;16.0;23.9;1968-09-16;9.8;1968-09-28
1968-10;10.2;16.0;1968-10-14;3.4;1968-10-22
1968-11;6.8;14.0;1968-11-04;-2.6;1968-11-29
1968-12;-1.9;5.5;1968-12-19;-6.7;1968-12-13
1969-01;-4.7;3.8;1969-01-16;-13.7;1969-01-12
1969-02;0.2;4.5;1969-02-25;-12.7;1969-02-12
1969-03;3.2;11.7;1969-03-14;-1.1;1969-03-05
1969-04;9.4;19.2;1969-04-29;1.5;1969-04-20
1969-05;17.7;23.2;1969-05-15;10.4;1969-05-20
1969-06;17.9;22.8;1969-06-19;14.3;1969-06-02
1969-07;20.3;24.2;1969-07-28;14.8;1969-07-09
1969-08;19.2;23.7;1969-08-03;14.0;1969-08-29
1969-09;15.9;20.0;1969-09-03;9.6;1969-09-29
1969-10;10.1;13.3;1969-10-14;7.2;1969-10-30
1969-11;7.6;15.9;1969-11-14;-1.0;1969-11-28
1969-12;-2.2;3.3;1969-12-10;-8.5;1969-12-22
1970-01;-1.0;6.4;1970-01-16;-7.0;1970-01-09
1970-02;-0.8;5.6;1970-02-06;-5.0;1970-02-17
1970-03;4.2;12.1;1970-03-25;-5.7;1970-03-02
1970-04;10.3;18.0;1970-04-24;2.3;1970-04-04
1970-05;13.9;17.9;1970-05-09;7.8;1970-05-01
1970-06;18.9;23.7;1970-06-22;13.0;1970-06-05
1970-07;20.5;24.5;1970-07-24;12.7;1970-07-18
1970-08;19.7;24.8;1970-08-01;16.4;1970-08-23
1970-09;14.6;22.4;1970-09-11;5.9;1970-09-29
1970-10;8.6;15.5;1970-10-09;3.5;1970-10-17
1970-11;7.0;12.8;1970-11-03;2.3;1970-11-08
1970-12;0.7;6.8;1970-12-30;-5.1;1970-12-27
1971-01;-1.4;7.7;1971-01-31;-10.3;1971-01-15
1971-02;1.7;8.3;1971-02-17;-6.2;1971-02-27
1971-03;2.8;13.1;1971-03-21;-6.3;1971-03-05
1971-04;11.0;14.8;1971-04-23;5.8;1971-04-15
1971-05;17.9;22.0;1971-05-21;10.4;1971-05-01
1971-06;17.9;20.9;1971-06-06;14.5;1971-06-30
1971-07;20.3;25.7;1971-07-28;14.5;1971-07-02
1971-08;21.5;26.7;1971-08-07;15.5;1971-08-25
1971-09;13.5;18.1;1971-09-03;8.5;1971-09-19
1971-10;8.4;15.2;1971-10-01;0.9;1971-10-31
1971-11;3.7;13.7;1971-11-10;-4.4;1971-11-22
1971-12;1.7;5.8;1971-12-23;-4.9;1971-12-10
1972-01;-1.6;5.2;1972-01-31;-10.3;1972-01-16
1972-02;3.6;8.6;1972-02-27;-3.7;1972-02-04
1972-03;7.4;12.6;1972-03-10;-1.6;1972-03-12
1972-04;12.2;17.6;1972-04-12;6.5;1972-04-26
1972-05;15.9;21.6;1972-05-16;9.9;1972-05-12
1972-06;19.8;24.3;1972-06-12;12.7;1972-06-27
1972-07;22.4;27.4;1972-07-15;16.8;1972-07-02
1972-08;19.3;26.8;1972-08-16;13.6;1972-08-31
1972-09;13.1;20.4;1972-09-09;5.5;1972-09-25
1972-10;8.2;13.6;1972-10-13;0.6;1972-10-23
1972-11;4.4;9.3;1972-11-18;-1.6;1972-11-26
1972-12;0.6;8.2;1972-12-03;-7.9;1972-12-26
1973-01;-1.3;2.7;1973-01-22;-6.2;1973-01-15
1973-02;1.8;5.9;1973-02-15;-3.0;1973-02-26
1973-03;4.9;13.1;1973-03-27;-0.9;1973-03-01
1973-04;9.7;17.9;1973-04-10;4.4;1973-04-15
1973-05;16.2;23.9;1973-05-06;9.5;1973-05-11
1973-06;18.5;24.2;1973-06-29;12.3;1973-06-17
1973-07;20.0;25.1;1973-07-17;14.2;1973-07-28
1973-08;20.2;24.1;1973-08-07;17.1;1973-08-23
1973-09;17.2;22.6;1973-09-07;10.0;1973-09-13
1973-10;9.4;17.7;1973-10-02;1.3;1973-10-26
1973-11;1.6;11.2;1973-11-06;-7.0;1973-11-30
1973-12;-1.6;6.1;1973-12-22;-13.8;1973-12-03
1974-01;-1.0;3.7;1974-01-04;-10.7;1974-01-15
1974-02;5.0;10.4;1974-02-16;1.1;1974-02-28
1974-03;8.2;16.9;1974-03-22;0.7;1974-03-01
1974-04;9.9;17.1;1974-04-30;5.7;1974-04-18
1974-05;13.9;20.1;1974-05-31;8.6;1974-05-08
1974-06;16.6;21.2;1974-06-27;9.4;1974-06-13
1974-07;19.0;26.1;1974-07-14;13.6;1974-07-08
1974-08;21.5;26.2;1974-08-04;14.1;1974-08-12
1974-09;16.7;20.9;1974-09-04;9.5;1974-09-28
1974-10;7.9;13.0;1974-10-13;3.2;1974-10-31
1974-11;4.5;9.3;1974-11-16;-0.1;1974-11-10
1974-12;1.6;9.2;1974-12-29;-1.4;1974-12-09
1975-01;1.0;5.7;1975-01-07;-4.1;1975-01-01
1975-02;-0.5;4.1;1975-02-13;-4.1;1975-02-05
1975-03;8.2;14.9;1975-03-31;0.1;1975-03-01
1975-04;10.2;18.9;1975-04-07;4.6;1975-04-12
1975-05;17.4;21.1;1975-05-19;12.7;1975-05-04
1975-06;19.2;25.6;1975-06-24;12.9;1975-06-06
1975-07;20.7;24.2;1975-07-15;15.5;1975-07-01
1975-08;19.9;23.1;1975-08-10;15.9;1975-08-14
1975-09;17.9;21.8;1975-09-03;12.7;1975-09-14
1975-10;10.4;20.0;1975-10-01;5.0;1975-10-10
1975-11;2.5;10.3;1975-11-18;-7.6;1975-11-26
1975-12;-0.8;3.3;1975-12-01;-5.5;1975-12-19
1976-01;-1.7;4.6;1976-01-12;-7.8;1976-01-18
1976-02;-2.3;3.5;1976-02-16;-10.7;1976-02-09
1976-03;1.9;9.3;1976-03-31;-3.8;1976-03-05
1976-04;11.2;15.1;1976-04-05;4.5;1976-04-29
1976-05;15.3;18.9;1976-05-19;8.2;1976-05-01
1976-06;18.2;24.1;1976-06-29;11.8;1976-06-01
1976-07;21.0;25.5;1976-07-21;15.0;1976-07-11
1976-08;17.5;20.3;1976-08-29;13.7;1976-08-05
1976-09;15.1;20.9;1976-09-14;11.1;1976-09-27
1976-10;11.1;19.3;1976-10-03;2.4;1976-10-21
1976-11;6.5;12.9;1976-11-05;-4.3;1976-11-26
1976-12;0.3;8.7;1976-12-02;-9.4;1976-12-31
1977-01;-0.9;5.6;1977-01-30;-9.6;1977-01-05
1977-02;4.1;10.3;1977-02-25;-2.1;1977-02-04
1977-03;7.8;16.1;1977-03-24;-1.7;1977-03-01
1977-04;9.0;19.0;1977-04-30;2.9;1977-04-01
1977-05;16.1;23.6;1977-05-20;10.1;1977-05-28
1977-06;19.2;24.1;1977-06-14;8.9;1977-06-03
1977-07;19.8;22.6;1977-07-31;15.8;1977-07-16
1977-08;18.6;22.8;1977-08-10;14.3;1977-08-24
1977-09;13.6;21.3;1977-09-07;5.7;1977-09-28
1977-10;10.8;15.8;1977-10-08;6.9;1977-10-18
1977-11;4.6;12.5;1977-11-04;-4.7;1977-11-30
1977-12;-3.2;1.9;1977-12-26;-9.9;1977-12-13
1978-01;-1.2;3.8;1978-01-30;-8.6;1978-01-10
1978-02;-0.3;8.8;1978-02-27;-9.8;1978-02-21
1978-03;6.2;11.8;1978-03-31;1.8;1978-03-11
1978-04;9.8;13.8;1978-04-12;4.1;1978-04-07
1978-05;13.6;20.0;1978-05-31;5.5;1978-05-12
1978-06;17.8;22.0;1978-06-08;12.8;1978-06-14
1978-07;18.4;22.4;1978-07-28;14.6;1978-07-22
1978-08;17.8;23.2;1978-08-04;12.6;1978-08-31
1978-09;13.7;19.1;1978-09-11;9.1;1978-09-21
1978-10;10.4;19.7;1978-10-03;2.7;1978-10-28
1978-11;1.7;9.2;1978-11-01;-1.2;1978-11-21
1978-12;0.7;8.6;1978-12-30;-8.4;1978-12-08
1979-01;-3.2;7.7;1979-01-29;-11.2;1979-01-05
1979-02;1.3;7.2;1979-02-16;-1.9;1979-02-27
1979-03;6.8;13.8;1979-03-16;1.2;1979-03-10
1979-04;9.3;14.6;1979-04-25;4.7;1979-04-19
1979-05;17.0;23.7;1979-05-21;9.4;1979-05-06
1979-06;21.7;25.1;1979-06-28;17.4;1979-06-21
1979-07;17.9;23.0;1979-07-31;14.7;1979-07-08
1979-08;18.5;26.2;1979-08-03;12.8;1979-08-13
1979-09;16.7;20.3;1979-09-24;9.8;1979-09-17
1979-10;8.6;18.0;1979-10-15;0.5;1979-10-26
1979-11;5.2;12.8;1979-11-17;0.3;1979-11-04
1979-12;3.0;9.1;1979-12-11;-5.3;1979-12-14
1980-01;-4.3;3.4;1980-01-31;-11.9;1980-01-15
1980-02;0.6;5.0;1980-02-01;-4.0;1980-02-16
1980-03;4.1;13.7;1980-03-29;-3.8;1980-03-05
1980-04;8.7;13.4;1980-04-18;4.8;1980-04-04
1980-05;13.2;19.7;1980-05-29;6.4;1980-05-04
1980-06;17.6;23.5;1980-06-15;13.0;1980-06-01
1980-07;18.5;24.3;1980-07-16;13.5;1980-07-22
1980-08;18.9;24.6;1980-08-05;12.4;1980-08-25
1980-09;14.5;18.0;1980-09-08;11.6;1980-09-28
1980-10;11.0;18.4;1980-10-18;3.9;1980-10-31
1980-11;3.1;8.9;1980-11-17;-0.1;1980-11-11
1980-12;-1.0;4.2;1980-12-20;-10.9;1980-12-05
1981-01;-4.2;4.2;1981-01-04;-10.7;1981-01-17
1981-02;-0.2;4.9;1981-02-23;-4.5;1981-02-02
1981-03;7.5;14.0;1981-03-26;-0.3;1981-03-01
1981-04;9.3;13.5;1981-04-13;3.5;1981-04-18
1981-05;15.6;22.8;1981-05-27;8.4;1981-05-03
1981-06;20.1;24.2;1981-06-04;14.3;1981-06-18
1981-07;19.8;23.9;1981-07-18;14.2;1981-07-21
1981-08;19.0;25.9;1981-08-03;12.0;1981-08-28
1981-09;16.6;22.4;1981-09-23;11.9;1981-09-17
1981-10;11.7;18.2;1981-10-06;4.5;1981-10-29
1981-11;3.2;11.6;1981-11-02;-2.9;1981-11-18
1981-12;0.0;6.7;1981-12-12;-7.2;1981-12-21
1982-01;-6.3;5.7;1982-01-01;-17.2;1982-01-19
1982-02;-3.0;2.6;1982-02-25;-10.2;1982-02-05
1982-03;5.0;11.0;1982-03-29;1.0;1982-03-01
1982-04;7.8;13.8;1982-04-08;4.2;1982-04-14
